epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
118,70991.8,0.63063,0.60915,0.19382,0.69269,0.60002,0.6433,0.46156,0.47711,0.58677,0.19444,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,72864.1,0.66026,0.60507,0.19976,0.69388,0.60078,0.6429,0.46052,0.47857,0.58565,0.19398,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,74735.3,0.61077,0.61223,0.18633,0.69494,0.6013,0.64459,0.46857,0.47,0.58609,0.19212,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,76607.2,0.62646,0.60813,0.19017,0.69711,0.60297,0.64491,0.47077,0.46879,0.58578,0.19191,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,78478.2,0.65342,0.60198,0.19486,0.70043,0.60247,0.6463,0.47164,0.46805,0.58582,0.19107,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,80353.1,0.64387,0.59943,0.19525,0.70297,0.60097,0.64781,0.47166,0.46619,0.58571,0.19036,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,82227,0.64973,0.6008,0.19476,0.70263,0.6033,0.64784,0.47188,0.46593,0.58591,0.19043,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,84146.3,0.63412,0.60218,0.19181,0.70677,0.60162,0.64853,0.46844,0.46923,0.58389,0.19159,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,86500.8,0.64643,0.60257,0.19436,0.70038,0.60559,0.64912,0.47047,0.46866,0.58326,0.19192,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,88428.6,0.63282,0.60329,0.19088,0.70243,0.6033,0.64982,0.47002,0.46934,0.58218,0.19127,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,90351.5,0.65575,0.59884,0.19857,0.69937,0.60555,0.64864,0.46971,0.46955,0.58242,0.19112,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,92277,0.60915,0.60493,0.18476,0.70972,0.59963,0.65122,0.47413,0.46541,0.58244,0.1909,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,94198.6,0.66163,0.59686,0.19776,0.7083,0.60277,0.65224,0.47486,0.46709,0.58241,0.19034,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,96121.4,0.59504,0.607,0.18189,0.71143,0.60237,0.65196,0.47455,0.46863,0.58141,0.19094,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,98040.6,0.68968,0.58869,0.20368,0.70813,0.603,0.65193,0.47062,0.4764,0.58169,0.19206,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,99961.4,0.62874,0.60194,0.18912,0.71103,0.60171,0.65116,0.46743,0.4783,0.58178,0.1921,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,101884,0.60912,0.60412,0.18505,0.70767,0.6053,0.65276,0.47263,0.47032,0.58204,0.19098,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,103807,0.60766,0.60213,0.18381,0.70734,0.60971,0.65512,0.47687,0.46443,0.58102,0.19024,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
136,105729,0.64554,0.59541,0.19344,0.70432,0.61079,0.65404,0.47246,0.47121,0.58077,0.19169,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
137,107646,0.6507,0.5939,0.194,0.71008,0.60791,0.65529,0.47397,0.46865,0.58116,0.19054,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
138,109566,0.61549,0.6008,0.18531,0.71429,0.60479,0.65383,0.46582,0.47984,0.58037,0.19198,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479
139,111504,0.63156,0.59807,0.18914,0.71209,0.60345,0.65272,0.45872,0.49088,0.57841,0.19363,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
140,113952,0.61191,0.6005,0.18478,0.71156,0.60196,0.65317,0.45967,0.48973,0.57962,0.19333,0.016239,0.005413,0.016239,0.005413,0.016239,0.005413,0.016239,0.005413
