epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,4087.8,0.39321,0.73908,0.28769,0.77271,0.72994,0.7974,0.59571,0.32309,0.60087,0.33142,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,4404.07,0.36079,0.73887,0.26624,0.77574,0.73064,0.79885,0.59833,0.32266,0.59656,0.33199,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,4728.38,0.35822,0.73248,0.26645,0.78093,0.73226,0.80164,0.60166,0.3201,0.59606,0.3288,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,5049.34,0.36011,0.73232,0.26722,0.78383,0.73094,0.80294,0.60409,0.3193,0.5921,0.32854,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,5368.52,0.36387,0.73373,0.26728,0.78811,0.73355,0.80642,0.60746,0.31844,0.58978,0.32667,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,5685.68,0.35513,0.72824,0.26185,0.78587,0.73479,0.80588,0.60847,0.31803,0.58858,0.32642,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,6007.66,0.36599,0.72767,0.26652,0.78237,0.73644,0.80627,0.60836,0.3164,0.59067,0.32267,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,6334.24,0.35397,0.7213,0.26122,0.77911,0.73965,0.80701,0.6099,0.31635,0.58957,0.32373,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,6646.91,0.35158,0.71155,0.25973,0.78267,0.74182,0.80927,0.6107,0.3168,0.58776,0.32493,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,6955.56,0.36654,0.71625,0.26853,0.78547,0.74157,0.81064,0.61283,0.31572,0.58703,0.32397,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,7260.79,0.35098,0.71098,0.2608,0.78985,0.74197,0.81196,0.61388,0.31644,0.58354,0.32473,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,7562.52,0.34824,0.70667,0.25926,0.7855,0.74622,0.81253,0.61497,0.31504,0.58408,0.32283,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,7864.81,0.35895,0.71503,0.26185,0.78588,0.74142,0.81271,0.61542,0.31456,0.58416,0.32303,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,8166.43,0.34595,0.69644,0.25376,0.79064,0.74048,0.81324,0.61647,0.31514,0.58125,0.32444,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
