epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,5910.33,0.32635,0.64354,0.2417,0.79634,0.74916,0.8209,0.62495,0.31249,0.57359,0.32342,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,6221.08,0.33528,0.64661,0.24703,0.7961,0.74935,0.82275,0.62605,0.31235,0.57362,0.32296,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,6519.54,0.32061,0.62679,0.2408,0.79739,0.75048,0.82417,0.62742,0.31171,0.57186,0.32198,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,6814.54,0.33195,0.64598,0.24538,0.79781,0.75327,0.82502,0.62819,0.31194,0.57005,0.32243,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,7109.94,0.34189,0.65145,0.25239,0.79367,0.7561,0.82474,0.62799,0.3119,0.57082,0.32289,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,7397.45,0.3231,0.63237,0.23921,0.79061,0.76118,0.82569,0.62884,0.31174,0.57041,0.32341,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,7685.74,0.32767,0.63015,0.24071,0.79184,0.76207,0.82531,0.6285,0.31152,0.57058,0.32177,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,7974.98,0.31635,0.62022,0.23348,0.79154,0.76291,0.82677,0.62947,0.31155,0.56916,0.32245,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,8263.61,0.33399,0.63377,0.24515,0.79377,0.76292,0.82748,0.6306,0.31206,0.56805,0.32349,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,8551.43,0.31053,0.61682,0.23061,0.79409,0.76253,0.82722,0.63071,0.31229,0.56633,0.32414,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,8839.76,0.33098,0.63668,0.2428,0.79613,0.76537,0.82805,0.63089,0.3134,0.56597,0.32587,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,9127.7,0.33534,0.64413,0.24998,0.79831,0.7637,0.82841,0.63115,0.31377,0.56625,0.32676,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,9415.26,0.31109,0.6013,0.23136,0.79918,0.76367,0.8282,0.63081,0.31357,0.56619,0.32731,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,9703.3,0.32646,0.61578,0.2365,0.79805,0.76299,0.82885,0.63092,0.31383,0.56636,0.3277,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,9990.15,0.30371,0.5971,0.2271,0.80067,0.76145,0.82933,0.63156,0.31407,0.56599,0.32919,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,10277.7,0.30428,0.59209,0.22713,0.80088,0.7615,0.82996,0.63202,0.31413,0.56469,0.32895,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,10563.6,0.29934,0.58623,0.22373,0.80104,0.76415,0.83088,0.6329,0.3138,0.56425,0.32855,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,10848.3,0.29979,0.58932,0.22582,0.8021,0.7658,0.83069,0.63281,0.31304,0.5646,0.32769,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,11132.7,0.32084,0.6068,0.23389,0.80305,0.76961,0.83117,0.63324,0.31318,0.56383,0.32819,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,11417.9,0.29735,0.58213,0.22574,0.79997,0.77001,0.83078,0.63331,0.31245,0.56528,0.32681,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
